"coefName","coef","X2.5..","X97.5..","pVal","upperTailPval","lowerTailPval","Std.error","converged","HGNC"
"(Intercept)",-12.8439092411294,NA,NA,7.11960882121252e-174,1,0,0.456894231688914,TRUE,"KTN1"
"isTarget1",0.509084657955325,NA,NA,0.427325888121826,0.213662944060913,0.786337055939087,0.641345547610573,TRUE,"KTN1"
"tumorTypeIDC",0.148608123302384,NA,NA,0.775845335087434,0.387922667543717,0.612077332456283,0.521912903937131,TRUE,"KTN1"
"tumorTypeLUAD",0.163267438557433,NA,NA,0.789099775810541,0.39454988790527,0.60545011209473,0.610391689788325,TRUE,"KTN1"
"tumorTypePAAD",-0.053106796156197,NA,NA,0.93634777412295,0.531826112938525,0.468173887061475,0.664990015867296,TRUE,"KTN1"
