"coefName","coef","X2.5..","X97.5..","pVal","upperTailPval","lowerTailPval","Std.error","converged","HGNC"
"(Intercept)",-12.6584460334403,NA,NA,6.55611580741287e-216,1,0,0.403616283425771,TRUE,"RARA"
"isTarget1",-0.0914946027641083,NA,NA,0.884922476069899,0.557538761965051,0.442461238034949,0.632165695006445,TRUE,"RARA"
"tumorTypeIDC",0.228499061546403,NA,NA,0.624923799310787,0.312461899655394,0.687538100344606,0.467389084836815,TRUE,"RARA"
"tumorTypeLUAD",-0.387418222812525,NA,NA,0.541518482580742,0.729240758709629,0.270759241290371,0.634572595840053,TRUE,"RARA"
"tumorTypePAAD",-0.236649926703323,NA,NA,0.71099394023678,0.64450302988161,0.35549697011839,0.638694137195094,TRUE,"RARA"
