"coefName","coef","X2.5..","X97.5..","pVal","upperTailPval","lowerTailPval","Std.error","converged","HGNC"
"(Intercept)",-12.7844831669604,NA,NA,2.54857161625637e-219,1,0,0.404422312464986,TRUE,"IRF6"
"isTarget1",0.283129661661251,NA,NA,0.632200132446034,0.316100066223017,0.683899933776983,0.591538798812167,TRUE,"IRF6"
"tumorTypeIDC",0.0281812454101118,NA,NA,0.953107464989046,0.476553732494523,0.523446267505477,0.479232529721265,TRUE,"IRF6"
"tumorTypeLUAD",0.465676778953829,NA,NA,0.390194053347467,0.195097026673734,0.804902973326266,0.541947487394525,TRUE,"IRF6"
"tumorTypePAAD",-0.212426806238168,NA,NA,0.739952095887551,0.630023952056225,0.369976047943775,0.640000192988939,TRUE,"IRF6"
