"coefName","coef","X2.5..","X97.5..","pVal","upperTailPval","lowerTailPval","Std.error","converged","HGNC"
"(Intercept)",-14.8294708302593,NA,NA,2.56553809348997e-48,1,0,1.01528837172926,TRUE,"FAS"
"isTarget1",1.19063100259175,NA,NA,0.131332259721139,0.0656661298605694,0.934333870139431,0.789088377769649,TRUE,"FAS"
"tumorTypeIDC",1.91613973609432,NA,NA,0.063177134628159,0.0315885673140795,0.968411432685921,1.03132330802698,TRUE,"FAS"
"tumorTypeLUAD",-0.162702641017139,NA,NA,0.855039499413401,0.5724802502933,0.4275197497067,0.89058317322666,TRUE,"FAS"
"tumorTypePAAD",-0.125206582666486,NA,NA,0.889734948826985,0.555132525586508,0.444867474413492,0.90310836330128,TRUE,"FAS"
