"coefName","coef","X2.5..","X97.5..","pVal","upperTailPval","lowerTailPval","Std.error","converged","HGNC"
"(Intercept)",-13.5703335852434,NA,NA,3.8706716281395e-91,1,0,0.670279859710207,TRUE,"CCND1"
"isTarget1",-0.22344834002983,NA,NA,0.78980021154644,0.60509989422678,0.39490010577322,0.838234951572241,TRUE,"CCND1"
"tumorTypeIDC",0.473203111624705,NA,NA,0.49422902634945,0.247114513174725,0.752885486825275,0.692224213577698,TRUE,"CCND1"
"tumorTypeLUAD",-0.34252291541565,NA,NA,0.681487829725418,0.659256085137291,0.340743914862709,0.834538966360796,TRUE,"CCND1"
"tumorTypePAAD",-0.271786654274151,NA,NA,0.747736776033823,0.626131611983088,0.373868388016912,0.845041974940238,TRUE,"CCND1"
