"coefName","coef","X2.5..","X97.5..","pVal","upperTailPval","lowerTailPval","Std.error","converged","HGNC"
"(Intercept)",-12.4247307321698,NA,NA,0,1,0,0.224303974703273,TRUE,"KDM5A"
"isTarget1",0.0514815927126905,NA,NA,0.897927313993646,0.448963656996823,0.551036343003177,0.401321742623119,TRUE,"KDM5A"
"tumorTypeIDC",-0.490032377976184,NA,NA,0.108957261612406,0.945521369193797,0.054478630806203,0.305716581737568,TRUE,"KDM5A"
"tumorTypeLUAD",0.307570378957802,NA,NA,0.333308752008829,0.166654376004415,0.833345623995585,0.3179118087205,TRUE,"KDM5A"
"tumorTypePAAD",-1.02965913021821,NA,NA,0.0584315999605064,0.970784200019747,0.0292157999802532,0.54408908022698,TRUE,"KDM5A"
