"coefName","coef","X2.5..","X97.5..","pVal","upperTailPval","lowerTailPval","Std.error","converged","HGNC"
"(Intercept)",-12.0075471773177,NA,NA,1.35102687358544e-212,1,0,0.385864422592514,TRUE,"SIX1"
"isTarget1",-0.656050027244153,NA,NA,0.400383348046841,0.79980832597658,0.20019167402342,0.780141904833795,TRUE,"SIX1"
"tumorTypeIDC",0.00937409413295667,NA,NA,0.983759773587743,0.491879886793872,0.508120113206128,0.4605187334461,TRUE,"SIX1"
"tumorTypeLUAD",-0.466567488579355,NA,NA,0.460179353949024,0.769910323025488,0.230089676974512,0.631733138892265,TRUE,"SIX1"
"tumorTypePAAD",-0.304669374257985,NA,NA,0.62996659710879,0.685016701445605,0.314983298554395,0.632390829790003,TRUE,"SIX1"
