"coefName","coef","X2.5..","X97.5..","pVal","upperTailPval","lowerTailPval","Std.error","converged","HGNC"
"(Intercept)",-11.8509498328345,NA,NA,0,1,0,0.200729641324948,TRUE,"PRDM16"
"isTarget1",0.174414064838188,NA,NA,0.648176548738815,0.324088274369407,0.675911725630593,0.382238175526406,TRUE,"PRDM16"
"tumorTypeIDC",-0.78326944023041,NA,NA,0.00767698041967129,0.996161509790164,0.00383849020983562,0.293804369990905,TRUE,"PRDM16"
"tumorTypeLUAD",-0.234756811730407,NA,NA,0.469190498285588,0.765404750857206,0.234595249142794,0.324340773387543,TRUE,"PRDM16"
"tumorTypePAAD",-1.81778655387481,NA,NA,0.00862589467461576,0.995687052662692,0.00431294733730792,0.692085229440396,TRUE,"PRDM16"
