"coefName","coef","X2.5..","X97.5..","pVal","upperTailPval","lowerTailPval","Std.error","converged","HGNC"
"(Intercept)",-12.3248035596444,NA,NA,3.50307135766684e-297,1,0,0.334503146145148,TRUE,"DACH1"
"isTarget1",-0.0403169259359723,NA,NA,0.940049396863642,0.529975301568179,0.470024698431821,0.536073896001087,TRUE,"DACH1"
"tumorTypeIDC",-1.07188246181131,NA,NA,0.0452141838792766,0.977392908060362,0.0226070919396383,0.535230343522307,TRUE,"DACH1"
"tumorTypeLUAD",0.97321576693534,NA,NA,0.020422412440229,0.0102112062201145,0.989788793779885,0.419761783933705,TRUE,"DACH1"
"tumorTypePAAD",-0.275407655046361,NA,NA,0.615543369859172,0.692228315070414,0.307771684929586,0.548427999850711,TRUE,"DACH1"
