"coefName","coef","X2.5..","X97.5..","pVal","upperTailPval","lowerTailPval","Std.error","converged","HGNC"
"(Intercept)",-13.1661282392147,NA,NA,2.57145034576133e-172,1,0,0.470494111864965,TRUE,"CYP2C8"
"isTarget1",0.103233084224757,NA,NA,0.878865269430838,0.439432634715419,0.560567365284581,0.677347572115377,TRUE,"CYP2C8"
"tumorTypeIDC",0.150711940574209,NA,NA,0.776790389908908,0.388395194954454,0.611604805045546,0.531603974658417,TRUE,"CYP2C8"
"tumorTypeLUAD",-0.178718166100175,NA,NA,0.785040651877595,0.607479674061203,0.392520325938797,0.655230510698501,TRUE,"CYP2C8"
"tumorTypePAAD",-0.610103262481086,NA,NA,0.449787911608601,0.775106044195699,0.224893955804301,0.80726192670017,TRUE,"CYP2C8"
