"coefName","coef","X2.5..","X97.5..","pVal","upperTailPval","lowerTailPval","Std.error","converged","HGNC"
"(Intercept)",-12.8877856967906,NA,NA,1.06714898810994e-298,1,0,0.348887420601742,TRUE,"CBL"
"isTarget1",0.165441629675253,NA,NA,0.770958139960351,0.385479069980176,0.614520930019824,0.568290004672295,TRUE,"CBL"
"tumorTypeIDC",-0.404877182448741,NA,NA,0.368835656976036,0.815582171511982,0.184417828488018,0.450536089137913,TRUE,"CBL"
"tumorTypeLUAD",0.0694834240332908,NA,NA,0.887347150359202,0.443673575179601,0.556326424820399,0.490488080848397,TRUE,"CBL"
"tumorTypePAAD",-1.27578850486852,NA,NA,0.146281789517645,0.926859105241178,0.0731408947588224,0.87816382289241,TRUE,"CBL"
