"coefName","coef","X2.5..","X97.5..","pVal","upperTailPval","lowerTailPval","Std.error","converged","HGNC"
"(Intercept)",-12.9130048183469,NA,NA,9.52665347162491e-304,1,0,0.346631296954277,TRUE,"GLI1"
"isTarget1",0.653082292686138,NA,NA,0.126756238583235,0.0633781192916176,0.936621880708382,0.427684403198081,TRUE,"GLI1"
"tumorTypeIDC",-0.201741287080216,NA,NA,0.633727862038481,0.68313606898076,0.31686393101924,0.423393549203535,TRUE,"GLI1"
"tumorTypeLUAD",1.08242488049602,NA,NA,0.011049361719971,0.0055246808599855,0.994475319140015,0.4259613832128,TRUE,"GLI1"
"tumorTypePAAD",-0.540678850166392,NA,NA,0.385778491470686,0.807110754264657,0.192889245735343,0.623405742193257,TRUE,"GLI1"
