"coefName","coef","X2.5..","X97.5..","pVal","upperTailPval","lowerTailPval","Std.error","converged","HGNC"
"(Intercept)",-12.2894351570614,NA,NA,3.12491886180259e-173,1,0,0.437989553448897,TRUE,"HOXC13"
"isTarget1",0.616209909477631,NA,NA,0.281810784145222,0.140905392072611,0.859094607927389,0.572547193645411,TRUE,"HOXC13"
"tumorTypeIDC",-0.389878911068049,NA,NA,0.47330644285343,0.763346778573285,0.236653221426715,0.543681028339642,TRUE,"HOXC13"
"tumorTypeLUAD",0.776788265562182,NA,NA,0.159865827220083,0.0799329136100417,0.920067086389958,0.552668500255328,TRUE,"HOXC13"
"tumorTypePAAD",-0.163959878248927,NA,NA,0.80037721029783,0.599811394851085,0.400188605148915,0.648424257334219,TRUE,"HOXC13"
