"coefName","coef","X2.5..","X97.5..","pVal","upperTailPval","lowerTailPval","Std.error","converged","HGNC"
"(Intercept)",-11.9442473811878,NA,NA,0,1,0,0.22221922880383,TRUE,"ZEB1"
"isTarget1",0.353897779014724,NA,NA,0.371605274678403,0.185802637339202,0.814197362660798,0.396093421721506,TRUE,"ZEB1"
"tumorTypeIDC",-0.948372295364253,NA,NA,0.0056032136697114,0.997198393165144,0.00280160683485575,0.342355319185602,TRUE,"ZEB1"
"tumorTypeLUAD",-0.106928162296997,NA,NA,0.755106377653236,0.622446811173382,0.377553188826618,0.342813678308499,TRUE,"ZEB1"
"tumorTypePAAD",-0.801400179132995,NA,NA,0.0953884374206815,0.952305781289659,0.0476942187103407,0.48056123748466,TRUE,"ZEB1"
