"coefName","coef","X2.5..","X97.5..","pVal","upperTailPval","lowerTailPval","Std.error","converged","HGNC"
"(Intercept)",-12.4716685674701,NA,NA,0,1,0,0.26086786395968,TRUE,"ARHGEF10L"
"isTarget1",-1.51996388494362,NA,NA,0.0871594493958363,0.956420275302082,0.0435797246979181,0.888568565249811,TRUE,"ARHGEF10L"
"tumorTypeIDC",-0.41671760473961,NA,NA,0.236994479073911,0.881502760463045,0.118497239536955,0.352394209789108,TRUE,"ARHGEF10L"
"tumorTypeLUAD",0.387827004879139,NA,NA,0.290692892767337,0.145346446383669,0.854653553616331,0.367050889304246,TRUE,"ARHGEF10L"
"tumorTypePAAD",-0.656558943637485,NA,NA,0.219980610534794,0.890009694732603,0.109990305267397,0.535276227493414,TRUE,"ARHGEF10L"
