"coefName","coef","X2.5..","X97.5..","pVal","upperTailPval","lowerTailPval","Std.error","converged","HGNC"
"(Intercept)",-13.1015612845833,NA,NA,1.90626132624032e-156,1,0,0.491659432477661,TRUE,"MAP2K4"
"isTarget1",1.68540866534435,NA,NA,0.00244101680362347,0.00122050840181174,0.998779491598188,0.556137925730276,TRUE,"MAP2K4"
"tumorTypeIDC",0.469275379958232,NA,NA,0.357501850279851,0.178750925139926,0.821249074860074,0.510006708457749,TRUE,"MAP2K4"
"tumorTypeLUAD",-0.236324205255775,NA,NA,0.715813913192939,0.64209304340353,0.35790695659647,0.649137011605287,TRUE,"MAP2K4"
"tumorTypePAAD",-0.672170248435563,NA,NA,0.40639839352853,0.796800803235735,0.203199196764265,0.809601443229469,TRUE,"MAP2K4"
