"coefName","coef","X2.5..","X97.5..","pVal","upperTailPval","lowerTailPval","Std.error","converged","HGNC"
"(Intercept)",-13.8398410945338,NA,NA,7.68502829712046e-82,1,0,0.722254213211487,TRUE,"RBM15"
"isTarget1",-0.444243203075859,NA,NA,0.584583154976903,0.707708422511548,0.292291577488452,0.812586781767043,TRUE,"RBM15"
"tumorTypeIDC",0.260831602912153,NA,NA,0.712396565243671,0.356198282621835,0.643801717378165,0.70755226449712,TRUE,"RBM15"
"tumorTypeLUAD",-0.298553978956291,NA,NA,0.723371427076188,0.638314286461906,0.361685713538094,0.843476290145898,TRUE,"RBM15"
"tumorTypePAAD",-0.235952003067686,NA,NA,0.782668653855642,0.608665673072179,0.391334326927821,0.855385134034903,TRUE,"RBM15"
