"coefName","coef","X2.5..","X97.5..","pVal","upperTailPval","lowerTailPval","Std.error","converged","HGNC"
"(Intercept)",-12.4369433227578,NA,NA,0,1,0,0.310834005880143,TRUE,"AXIN1"
"isTarget1",0.012552608841389,NA,NA,0.981560412908822,0.490780206454411,0.509219793545589,0.543105499424411,TRUE,"AXIN1"
"tumorTypeIDC",-0.268221537129358,NA,NA,0.493041333193802,0.753479333403099,0.246520666596901,0.391290330949478,TRUE,"AXIN1"
"tumorTypeLUAD",-0.999909064708517,NA,NA,0.122029865643245,0.938985067178377,0.0610149328216227,0.646642303374625,TRUE,"AXIN1"
"tumorTypePAAD",-0.757885175631037,NA,NA,0.227301022640895,0.886349488679553,0.113650511320447,0.627731073365385,TRUE,"AXIN1"
