"coefName","coef","X2.5..","X97.5..","pVal","upperTailPval","lowerTailPval","Std.error","converged","HGNC"
"(Intercept)",-12.4465443429715,NA,NA,0,1,0,0.299218663799333,TRUE,"DDR2"
"isTarget1",-1.31111374242258,NA,NA,0.124558717978443,0.937720641010779,0.0622793589892214,0.853635757775718,TRUE,"DDR2"
"tumorTypeIDC",0.112852627507581,NA,NA,0.755688848783094,0.377844424391547,0.622155575608453,0.362698712399964,TRUE,"DDR2"
"tumorTypeLUAD",0.165753925863038,NA,NA,0.703018723496743,0.351509361748371,0.648490638251629,0.434765890364049,TRUE,"DDR2"
"tumorTypePAAD",-0.730873476822346,NA,NA,0.241528088502847,0.879235955748576,0.120764044251424,0.624050998261187,TRUE,"DDR2"
