"coefName","coef","X2.5..","X97.5..","pVal","upperTailPval","lowerTailPval","Std.error","converged","HGNC"
"(Intercept)",-13.1286116073222,NA,NA,1.74510181647669e-161,1,0,0.484828053245117,TRUE,"CCDC6"
"isTarget1",0.208380995424783,NA,NA,0.768920264818816,0.384460132409408,0.615539867590592,0.709291492991332,TRUE,"CCDC6"
"tumorTypeIDC",-0.409927961893798,NA,NA,0.493620560061409,0.753189719969295,0.246810280030705,0.598818161546038,TRUE,"CCDC6"
"tumorTypeLUAD",-0.147037367491834,NA,NA,0.823762048851232,0.588118975574384,0.411881024425616,0.66022213775595,TRUE,"CCDC6"
"tumorTypePAAD",-0.0230738947633021,NA,NA,0.97270377184268,0.51364811407866,0.48635188592134,0.674331719067369,TRUE,"CCDC6"
