"coefName","coef","X2.5..","X97.5..","pVal","upperTailPval","lowerTailPval","Std.error","converged","HGNC"
"(Intercept)",-13.049230666242,NA,NA,2.18716031503162e-148,1,0,0.502998305296458,TRUE,"ELF3"
"isTarget1",0.806670526974826,NA,NA,0.255113473810951,0.127556736905476,0.872443263094524,0.708838866026067,TRUE,"ELF3"
"tumorTypeIDC",-0.398875075411751,NA,NA,0.507138743647422,0.746430628176289,0.253569371823711,0.601349862488958,TRUE,"ELF3"
"tumorTypeLUAD",0.212485342660438,NA,NA,0.734713427467567,0.367356713733783,0.632643286266217,0.627055032324901,TRUE,"ELF3"
"tumorTypePAAD",-0.57106509875334,NA,NA,0.479935675285741,0.760032162357129,0.239967837642871,0.808409156703621,TRUE,"ELF3"
