"coefName","coef","X2.5..","X97.5..","pVal","upperTailPval","lowerTailPval","Std.error","converged","HGNC"
"(Intercept)",-14.1978215234224,NA,NA,1.30296234956216e-67,1,0,0.81719709277233,TRUE,"TAF15"
"isTarget1",1.49601442763839,NA,NA,0.0649176266409675,0.0324588133204838,0.967541186679516,0.81048553798899,TRUE,"TAF15"
"tumorTypeIDC",0.600246722402422,NA,NA,0.401209310446122,0.200604655223061,0.799395344776939,0.715036189922094,TRUE,"TAF15"
"tumorTypeLUAD",0.311395760731306,NA,NA,0.689143982731727,0.344571991365863,0.655428008634137,0.778456283336327,TRUE,"TAF15"
"tumorTypePAAD",-0.237863247579468,NA,NA,0.780655903079306,0.609672048460347,0.390327951539653,0.854196309543835,TRUE,"TAF15"
