"coefName","coef","X2.5..","X97.5..","pVal","upperTailPval","lowerTailPval","Std.error","converged","HGNC"
"(Intercept)",-12.7961904506475,NA,NA,0,1,0,0.31797107573454,TRUE,"SIN3A"
"isTarget1",0.0376154778900837,NA,NA,0.938301464930772,0.469150732465386,0.530849267534614,0.485957496006762,TRUE,"SIN3A"
"tumorTypeIDC",-0.204827731368174,NA,NA,0.609700476430936,0.695149761784532,0.304850238215468,0.401228811972715,TRUE,"SIN3A"
"tumorTypeLUAD",0.278511094912831,NA,NA,0.532658307693829,0.266329153846915,0.733670846153085,0.446365346247401,TRUE,"SIN3A"
"tumorTypePAAD",-0.280084889686178,NA,NA,0.606288956310034,0.696855521844983,0.303144478155017,0.543455349888268,TRUE,"SIN3A"
