"coefName","coef","X2.5..","X97.5..","pVal","upperTailPval","lowerTailPval","Std.error","converged","HGNC"
"(Intercept)",-12.5004611516689,NA,NA,7.24589173225549e-116,1,0,0.546333951612494,TRUE,"TLX1"
"isTarget1",-0.409696658076696,NA,NA,0.608715522050407,0.695642238974796,0.304357761025204,0.800332870048096,TRUE,"TLX1"
"tumorTypeIDC",-0.603680106441213,NA,NA,0.377506057254815,0.811246971372592,0.188753028627408,0.684056171955548,TRUE,"TLX1"
"tumorTypeLUAD",-0.0437755715430828,NA,NA,0.948873472719864,0.525563263640068,0.474436736359932,0.682697115893517,TRUE,"TLX1"
"tumorTypePAAD",-0.480768513510881,NA,NA,0.554549122303995,0.722725438848002,0.277274561151998,0.813542067436713,TRUE,"TLX1"
