"coefName","coef","X2.5..","X97.5..","pVal","upperTailPval","lowerTailPval","Std.error","converged","HGNC"
"(Intercept)",-11.9862314959508,NA,NA,6.27120896980213e-305,1,0,0.321124888696224,TRUE,"GATA3"
"isTarget1",0.003613754209424,NA,NA,0.994681898503394,0.497340949251697,0.502659050748303,0.542174184293841,TRUE,"GATA3"
"tumorTypeIDC",-0.269697298935255,NA,NA,0.513477235713717,0.743261382143141,0.256738617856859,0.412739088759884,TRUE,"GATA3"
"tumorTypeLUAD",0.157255026746507,NA,NA,0.733127505893766,0.366563752946883,0.633436247053117,0.461201417607202,TRUE,"GATA3"
"tumorTypePAAD",-0.256168721618388,NA,NA,0.638465720543897,0.680767139728052,0.319232860271948,0.545219573273065,TRUE,"GATA3"
