"coefName","coef","X2.5..","X97.5..","pVal","upperTailPval","lowerTailPval","Std.error","converged","HGNC"
"(Intercept)",-12.6380631727421,NA,NA,9.51205432537714e-69,1,0,0.721214238091874,TRUE,"MLLT11"
"isTarget1",0.595474494239722,NA,NA,0.487040348005971,0.243520174002986,0.756479825997014,0.856768418079972,TRUE,"MLLT11"
"tumorTypeIDC",0.261030712126555,NA,NA,0.712217378188551,0.356108689094275,0.643891310905725,0.707630959775187,TRUE,"MLLT11"
"tumorTypeLUAD",-0.298695682152155,NA,NA,0.723276545586234,0.638361727206883,0.361638272793117,0.843574892652121,TRUE,"MLLT11"
"tumorTypePAAD",-0.236116856311236,NA,NA,0.782543319533672,0.608728340233164,0.391271659766836,0.855476700741418,TRUE,"MLLT11"
