"coefName","coef","X2.5..","X97.5..","pVal","upperTailPval","lowerTailPval","Std.error","converged","HGNC"
"(Intercept)",-12.0861176927926,NA,NA,0,1,0,0.305529093288203,TRUE,"TCF7L2"
"isTarget1",1.10873839310709,NA,NA,0.0155035139780479,0.00775175698902396,0.992248243010976,0.458080960946281,TRUE,"TCF7L2"
"tumorTypeIDC",-0.900236371244348,NA,NA,0.0382654132324493,0.980867293383775,0.0191327066162247,0.434476950274621,TRUE,"TCF7L2"
"tumorTypeLUAD",-0.327040288270277,NA,NA,0.477102216311058,0.761448891844471,0.238551108155529,0.459991048009742,TRUE,"TCF7L2"
"tumorTypePAAD",-1.91487946848821,NA,NA,0.0533044419833615,0.973347779008319,0.0266522209916807,0.99090952848989,TRUE,"TCF7L2"
