"coefName","coef","X2.5..","X97.5..","pVal","upperTailPval","lowerTailPval","Std.error","converged","HGNC"
"(Intercept)",-11.8356841570091,NA,NA,2.27638891384222e-46,1,0,0.827829608582522,TRUE,"RMI2"
"isTarget1",-0.472174059008119,NA,NA,0.569748323848892,0.715125838075554,0.284874161924446,0.830674917514868,TRUE,"RMI2"
"tumorTypeIDC",0.0157097587075986,NA,NA,0.983269510835276,0.491634755417638,0.508365244582362,0.749150559482106,TRUE,"RMI2"
"tumorTypeLUAD",-0.235665044623091,NA,NA,0.784215333182048,0.607892333408976,0.392107666591024,0.860625635812622,TRUE,"RMI2"
"tumorTypePAAD",-0.184338094429708,NA,NA,0.832886575452576,0.583556712273712,0.416443287726288,0.873636565428026,TRUE,"RMI2"
