"coefName","coef","X2.5..","X97.5..","pVal","upperTailPval","lowerTailPval","Std.error","converged","HGNC"
"(Intercept)",-13.1829672136312,NA,NA,3.23097344829581e-174,1,0,0.468487925022625,TRUE,"AKT1"
"isTarget1",0.91612172270086,NA,NA,0.133700304740774,0.0668501523703868,0.933149847629613,0.610882837032594,TRUE,"AKT1"
"tumorTypeIDC",0.34944078714523,NA,NA,0.49535621011195,0.247678105055975,0.752321894944025,0.512515869442546,TRUE,"AKT1"
"tumorTypeLUAD",-0.843524810309096,NA,NA,0.307879850876404,0.846060074561798,0.153939925438202,0.827243953418482,TRUE,"AKT1"
"tumorTypePAAD",-0.101036920284804,NA,NA,0.878290084433606,0.560854957783197,0.439145042216803,0.65978040338442,TRUE,"AKT1"
