"coefName","coef","X2.5..","X97.5..","pVal","upperTailPval","lowerTailPval","Std.error","converged","HGNC"
"(Intercept)",-12.1186479256408,NA,NA,3.52472795322052e-260,1,0,0.351702460944075,TRUE,"MDM2"
"isTarget1",-0.154866723386015,NA,NA,0.803165201166761,0.59841739941662,0.40158260058338,0.621323783259343,TRUE,"MDM2"
"tumorTypeIDC",-0.723019354488636,NA,NA,0.145871350963709,0.927064324518146,0.0729356754818543,0.497169817825339,TRUE,"MDM2"
"tumorTypeLUAD",0.237407970197927,NA,NA,0.619915557607904,0.309957778803952,0.690042221196048,0.478674026542509,TRUE,"MDM2"
"tumorTypePAAD",-1.28125622642431,NA,NA,0.145219629606302,0.927390185196849,0.0726098148031509,0.87960545269095,TRUE,"MDM2"
