"coefName","coef","X2.5..","X97.5..","pVal","upperTailPval","lowerTailPval","Std.error","converged","HGNC"
"(Intercept)",-12.8726280735042,NA,NA,1.45832530342502e-150,1,0,0.492543038757768,TRUE,"CDK4"
"isTarget1",0.587969504175515,NA,NA,0.372658811683389,0.186329405841695,0.813670594158305,0.659525320378531,TRUE,"CDK4"
"tumorTypeIDC",0.321955912218817,NA,NA,0.558078240178067,0.279039120089033,0.720960879910967,0.549695777414726,TRUE,"CDK4"
"tumorTypeLUAD",-0.0761843958673596,NA,NA,0.909201762406895,0.545399118796552,0.454600881203448,0.668017830174165,TRUE,"CDK4"
"tumorTypePAAD",0.460008691940822,NA,NA,0.489811299744321,0.244905649872161,0.755094350127839,0.666091380497454,TRUE,"CDK4"
