"coefName","coef","X2.5..","X97.5..","pVal","upperTailPval","lowerTailPval","Std.error","converged","HGNC"
"(Intercept)",-12.8501928195637,NA,NA,0,1,0,0.323822835665351,TRUE,"SETDB1"
"isTarget1",-0.511651932316722,NA,NA,0.392272815116077,0.803863592441961,0.196136407558039,0.598071554201065,TRUE,"SETDB1"
"tumorTypeIDC",0.00949301243731062,NA,NA,0.980786964861866,0.490393482430933,0.509606517569067,0.394190503360231,TRUE,"SETDB1"
"tumorTypeLUAD",0.00214514378549955,NA,NA,0.996425156270561,0.498212578135281,0.501787421864719,0.478782153935582,TRUE,"SETDB1"
"tumorTypePAAD",-0.584628751669483,NA,NA,0.34684558822468,0.82657720588766,0.17342279411234,0.621465880077478,TRUE,"SETDB1"
