"coefName","coef","X2.5..","X97.5..","pVal","upperTailPval","lowerTailPval","Std.error","converged","HGNC"
"(Intercept)",-11.826625865685,NA,NA,4.67887647220913e-70,1,0,0.668404137294483,TRUE,"FANCF"
"isTarget1",0.176353276147855,NA,NA,0.785115072499449,0.392557536249725,0.607442463750275,0.646789723482529,TRUE,"FANCF"
"tumorTypeIDC",-1.17158887940107,NA,NA,0.199789872125104,0.900105063937448,0.099894936062552,0.913768640771931,TRUE,"FANCF"
"tumorTypeLUAD",0.488374218565964,NA,NA,0.488424883440986,0.244212441720493,0.755787558279507,0.704911627400023,TRUE,"FANCF"
"tumorTypePAAD",-0.39811700539805,NA,NA,0.628831053947776,0.685584473026112,0.314415526973888,0.823623094039946,TRUE,"FANCF"
