"gene","coef","pVal","Std.error","pVal_adj","qVal"
"ARID1A",-0.217913520942385,0.609984914558048,0.427201844699002,0.991230417748256,0.991230417748256
"ARID5B",-0.374405470153229,0.531986709120496,0.599071609354019,0.991230417748256,0.991230417748256
"ARNT",0.0122926880948226,0.981945290115003,0.543199475597921,0.991230417748256,0.991230417748256
"ATF1",-0.272986550703853,0.739945561553639,0.822433352302427,0.991230417748256,0.991230417748256
"ATF7IP",-0.243714845139764,0.689872112851415,0.610770331163562,0.991230417748256,0.991230417748256
"ATM",-0.018215461832722,0.960846458155216,0.371052004897337,0.991230417748256,0.991230417748256
"ATP1A1",0.018574641430697,0.972803940460534,0.544841772266554,0.991230417748256,0.991230417748256
"ATXN3",-0.169679855941448,0.843403557200162,0.858956622479723,0.991230417748256,0.991230417748256
"AXIN1",0.012552608841389,0.981560412908822,0.543105499424411,0.991230417748256,0.991230417748256
"B2M",-0.108989157098263,0.902256489554368,0.887451858017283,0.991230417748256,0.991230417748256
"BAZ1A",-0.270654487658086,0.655864347504894,0.607352128055107,0.991230417748256,0.991230417748256
"BCL10",0.351441592013355,0.643624702113273,0.75964896540992,0.991230417748256,0.991230417748256
"BCL11B",0.0385876992387248,0.940335144262873,0.515543117709381,0.991230417748256,0.991230417748256
"BCL7A",0.453552629012749,0.57041170076748,0.799288765386928,0.991230417748256,0.991230417748256
"BCL9",0.451670134254529,0.328270827823557,0.46201805994875,0.991230417748256,0.991230417748256
"BCL9L",0.861037431653022,0.110311353076045,0.539228449437928,0.991230417748256,0.991230417748256
"BIRC3",-0.592259113246502,0.448331708146935,0.781139140701656,0.991230417748256,0.991230417748256
"BLM",0.101004709809099,0.836368334306062,0.489029806058608,0.991230417748256,0.991230417748256
"BMPR1A",0.586468794805307,0.373771432622255,0.659375177505457,0.991230417748256,0.991230417748256
"BRCA1",-0.27004789353066,0.656433177828973,0.60706330214154,0.991230417748256,0.991230417748256
"BRCA2",-0.148065713335522,0.711558015918734,0.400432542670643,0.991230417748256,0.991230417748256
"BRD7",0.152812291362663,0.825201410251739,0.691896503039642,0.991230417748256,0.991230417748256
"BTG1",-0.304180027220886,0.710178957508835,0.818533723572047,0.991230417748256,0.991230417748256
"BTG2",-0.159385700357936,0.854388727787676,0.868484424507301,0.991230417748256,0.991230417748256
"BUB1B",0.361640381849596,0.492526614923274,0.526945373820798,0.991230417748256,0.991230417748256
"C15orf65",0.453344271915365,0.570385852733154,0.798868005762381,0.991230417748256,0.991230417748256
"CAMTA1",-0.0465786259058243,0.959913666676854,0.926717948679306,0.991230417748256,0.991230417748256
"CARS",-0.534387532134112,0.494215728172846,0.781703643970625,0.991230417748256,0.991230417748256
"CASP9",1.0299597280392,0.10073462091517,0.627525808399036,0.991230417748256,0.991230417748256
"CBFA2T3",0.4548524056731,0.343067796636135,0.479740821307144,0.991230417748256,0.991230417748256
"CBFB",0.353134574743464,0.648420113943915,0.774489104233256,0.991230417748256,0.991230417748256
"CBL",0.165441629675253,0.770958139960351,0.568290004672295,0.991230417748256,0.991230417748256
"CCDC6",0.208380995424783,0.768920264818816,0.709291492991332,0.991230417748256,0.991230417748256
"CCNB1IP1",0.349442396018184,0.645549110332771,0.759733060460333,0.991230417748256,0.991230417748256
"CCND1",-0.22344834002983,0.78980021154644,0.838234951572241,0.991230417748256,0.991230417748256
"CCND2",-0.171494724719328,0.841724230374616,0.858811343429593,0.991230417748256,0.991230417748256
"CCR7",-0.0192805471024185,0.976216650293765,0.64672859663635,0.991230417748256,0.991230417748256
"CDC73",-0.185316084790176,0.763957499112036,0.617127875956584,0.991230417748256,0.991230417748256
"CDH1",0.748876645837087,0.108361717533823,0.466415306950485,0.991230417748256,0.991230417748256
"CDH11",0.334765559525546,0.436898042714796,0.430598759361267,0.991230417748256,0.991230417748256
"CDK12",0.357576628411475,0.462716100444227,0.486908373820967,0.991230417748256,0.991230417748256
"CDK4",0.587969504175515,0.372658811683389,0.659525320378531,0.991230417748256,0.991230417748256
"CDKN2C",0.452800813507077,0.570882695079682,0.798939966512459,0.991230417748256,0.991230417748256
"CDX2",-0.222212193238185,0.791026277810059,0.838605656667647,0.991230417748256,0.991230417748256
"CHD2",-0.15953158836157,0.730539790547442,0.463205801733789,0.991230417748256,0.991230417748256
"CHD3",0.0580456175594181,0.906743155447908,0.495491657171707,0.991230417748256,0.991230417748256
"CHD4",0.180093856149977,0.695329438315002,0.459853687488005,0.991230417748256,0.991230417748256
"CHD8",0.0659464251283369,0.823250699183409,0.295239376190627,0.991230417748256,0.991230417748256
"CHST11",-0.409234649014944,0.605657094400082,0.792656391482001,0.991230417748256,0.991230417748256
